Date,Open,High,Low,Close,Volume,MACD,RSI SMA,RSI EWMA,Daily Change,5 Day Change
2015-09-09,113.760002,114.019997,109.769997,110.150002,85010800,-2.249742689,268.4865563,-802.1941257,-0.019232446,0.022558494
2015-09-10,110.269997,113.279999,109.900002,112.57,62892800,-1.957853153,475.0000868,444.1364911,0.021970022,0.002047392
2015-09-11,111.790001,114.209999,111.760002,114.209999,49915500,-1.576026921,937.2082657,260.4944641,0.014568704,0.034792026
2015-09-14,116.580002,116.889999,114.860001,115.309998,58363400,-1.171165687,634.6540119,211.6512822,0.009631372,0.055275933
2015-09-15,115.93,116.529999,114.419998,116.279999,43341200,-0.763241099,391.7614987,184.0747551,0.008412115,0.035348598
2015-09-16,116.25,116.540001,115.440002,116.410004,37173500,-0.42457339,160.1840414,180.8054565,0.001118034,0.05683161
2015-09-17,115.660004,116.489998,113.720001,113.919998,64112600,-0.353029955,588.6070397,2015.430726,-0.021389966,0.01199252
2015-09-18,112.209999,114.300003,111.870003,113.449997,74285300,-0.330447231,301.9487376,-1503.033966,-0.004125711,-0.006654426
2015-09-21,113.669998,115.370003,113.660004,115.209999,50222000,-0.168589412,186.1953077,329.3306003,0.01551346,-0.000867219
2015-09-22,113.379997,114.18,112.519997,113.400002,50346200,-0.18424371,735.7774834,-754.0321824,-0.015710416,-0.024767776
2015-09-23,113.629997,114.720001,113.300003,114.32,35756700,-0.121018675,214.38864,918.3330822,0.008112857,-0.017953818
2015-09-24,113.25,115.5,112.370003,115,50219500,-0.015859247,296.2964609,395.5332424,0.005948216,0.009480355
2015-09-25,116.440002,116.690002,114.019997,114.709999,56151900,0.043577367,1112.001,593.0046314,-0.002521748,0.011106232
2015-09-28,113.849998,114.57,112.440002,112.440002,52109000,-0.091434475,-155.4011225,-157.0307,-0.019789007,-0.024043026
2015-09-29,112.830002,113.510002,107.860001,109.059998,73365400,-0.465800944,-48.3380127,-47.55925992,-0.030060512,-0.03827164
2015-09-30,110.169998,111.540001,108.730003,110.300003,66473000,-0.654881956,-75.28648522,-114.6592082,0.011369934,-0.035164424
2015-10-01,109.07,109.620003,107.309998,109.580002,63929100,-0.852995285,-105.9909963,-86.68491689,-0.006527661,-0.047130417
2015-10-02,108.010002,111.010002,107.550003,110.379997,58019800,-0.934674271,-175.8957655,-179.1864211,0.007300557,-0.037747381
2015-10-05,109.879997,111.370003,109.07,110.779999,52064700,-0.956107229,-91.19638826,-300.4430102,0.003623863,-0.014763456
2015-10-06,110.629997,111.739998,109.769997,111.309998,48196800,-0.919724501,-218.6598207,-1249.903099,0.004784248,0.020630846
2015-10-07,111.739998,111.769997,109.410004,110.779999,46765600,-0.923017447,-103.1073438,-320.6591131,-0.004761468,0.004351732
2015-10-08,110.190002,110.190002,108.209999,109.5,61979600,-1.017186855,-54.00001818,-100.378088,-0.011554423,-0.000730078
2015-10-09,110,112.279999,109.489998,112.120003,52766100,-0.870371344,-215.8306036,378.8435197,0.023926968,0.01576378
2015-10-12,112.730003,112.75,111.440002,111.599998,30467200,-0.786908066,-665.4734977,902.335733,-0.004637932,0.007402049
2015-10-13,110.82,112.449997,110.68,111.790001,33049300,-0.69739206,211.7216355,596.1580554,0.001702536,0.004312308
2015-10-14,111.290001,111.519997,109.559998,110.209999,44462400,-0.745350996,-5044.222479,-207.1065837,-0.014133661,-0.005145333
2015-10-15,110.93,112.099998,110.489998,111.860001,37673500,-0.64280754,271.4915226,526.6641279,0.014971436,0.021552521
2015-10-16,111.779999,112,110.529999,111.040001,39232600,-0.62055489,816.6630808,-1167.048649,-0.007330592,-0.009632554
2015-10-19,110.800003,111.75,110.110001,111.730003,29759200,-0.541005732,597.8931668,649.11314,0.006213995,0.001164919
2015-10-20,111.339996,114.169998,110.82,113.769997,48778800,-0.309781021,292.2767042,188.8600842,0.018258247,0.017711745
2015-10-21,114,115.580002,113.699997,113.760002,41795200,-0.125889114,241.2750591,189.8128023,-8.79E-05,0.032211261
2015-10-22,114.330002,115.5,114.099998,115.5,41654100,0.158423635,148.8333667,143.3177744,0.015295341,0.032540667
2015-10-23,116.699997,119.230003,116.330002,119.080002,59366900,0.664954597,142.0977359,118.8188739,0.030995688,0.072406348
2015-10-26,118.080002,118.129997,114.919998,115.279999,66333800,0.751097366,268.7499541,446.2204739,-0.031911345,0.031772988
2015-10-27,115.400002,116.540001,113.989998,114.550003,69884400,0.751795326,351.4489482,1263.962251,-0.006332373,0.00685599
2015-10-28,116.93,119.300003,116.059998,119.269997,85551400,1.120298431,159.1610947,175.180142,0.041204661,0.048435258
2015-10-29,118.699997,120.690002,118.269997,120.529999,51227300,1.496757736,161.8223211,157.6005536,0.010564283,0.043549775
2015-10-30,120.989998,121.220001,119.449997,119.5,49365300,1.692482255,165.8391685,205.6444609,-0.008545582,0.003527024
2015-11-02,120.800003,121.360001,119.610001,121.18,32203300,1.960557222,158.9417436,165.7107506,0.014058577,0.051179745
